sno,state,annual_recharge,extractable_resource,annual_extraction,stage_of_development,category
5,Bemetara,18175.02,16782.78,0,12389.23,Over Exploited
6,Bijapur,49859.36,762.77,214.88,1376.43,Over Exploited
7,Bilaspur,21989.71,16860.67,426.62,11914.36,Over Exploited
8,Dantewada,25283.02,630.44,342.85,1404.15,Over Exploited
9,Dhamtari,20986.49,28926.68,0,18274.95,Over Exploited
10,Durg,14510.5,19764.1,0,8830.02,Over Exploited
11,Gariaband,22766.79,8496.39,0,6030.52,Over Exploited
12,Gourela-Pendra-Marwahi,11297.19,1275.67,545.15,1242.23,Over Exploited
13,Janjgir-Champa,12350.45,20831.76,153.04,15306.79,Over Exploited
14,Jashpur,27453.62,2804.53,873.11,3715.88,Over Exploited
15,Kabirdham,32690.31,29684.9,1408.77,9245.4,Over Exploited
16,Kanker,55430.65,4915.27,2224.16,8633.41,Over Exploited
18,Kondagaon,30505.36,2723.03,2064.15,2231.35,Over Exploited
19,Korba,37675.69,4693.11,676.81,5510.46,Over Exploited
20,Korea,9543.17,3323.71,53.15,1869.95,Over Exploited
21,Mahasamund,47011.09,38521.02,325.68,16779.85,Over Exploited
24,Mungeli,9680.27,12373.58,0,4844.83,Over Exploited
25,Narayanpur,25101.06,457.92,772.79,553.46,Over Exploited
26,Raigarh,35392.31,2788.33,408.53,3429.14,Over Exploited
27,Raipur,19715.92,23406.18,42.18,7778.94,Over Exploited
28,Rajnandgaon,20156.4,9704.94,236.55,8541.37,Over Exploited
29,Sakti,9148.9,10717.41,101.69,13030.06,Over Exploited
30,Sarangarh-Bilairagh,14175.82,6923.33,361.15,3280.46,Over Exploited
31,Sukma,44267.11,915.59,0,976.69,Over Exploited
32,Surajpur,28568.63,4629.44,217.28,6415.47,Over Exploited
33,Surguja,34167.83,3443.26,885.79,3916.43,Over Exploited
1,2,3,4,5,6,Safe
1,Ahmedabad,24716.2,7798.13,0,13286.9,Over Exploited
2,Amreli,132123.42,7121.78,0,10900.56,Over Exploited
3,Anand,32160.87,37639.44,0,48588.67,Over Exploited
4,Arvalli,81761.61,3492.59,0,7360.04,Over Exploited
5,Banaskantha,99386.1,15164.17,0,16738.96,Over Exploited
6,Bharuch,41682.99,8452.01,0,19261.9,Over Exploited
7,Bhavnagar,92561.12,7720.82,0,13545.1,Over Exploited
